00000	00377
104B0	104D3
104D8	104FB
10500	10527
10530	10563
1056F	1057A
1057C	1058A
1058C	10592
10594	10595
10597	105A1
105A3	105B1
105B3	105B9
105BB	105BC
105C0	105F3
10600	10736
10740	10755
10760	10767
10780	10785
10787	107B0
107B2	107BA
10800	10805
10808	10808
1080A	10835
10837	10838
1083C	1083C
1083F	10855
10857	1089E
108A7	108AF
108E0	108F2
108F4	108F5
108FB	1091B
1091F	10939
1093F	1093F
10980	109B7
109BC	109CF
109D2	10A03
10A05	10A06
10A0C	10A13
10A15	10A17
10A19	10A35
10A38	10A3A
10A3F	10A48
10A50	10A58
10A60	10A9F
10AC0	10AE6
10AEB	10AF6
10B00	10B35
10B39	10B55
10B58	10B72
10B78	10B91
10B99	10B9C
10BA9	10BAF
10C00	10C48
10C80	10CB2
10CC0	10CF2
10CFA	10D27
10D30	10D39
10D40	10D65
10D69	10D85
10D8E	10D8F
10E60	10E7E
10E80	10EA9
10EAB	10EAD
10EB0	10EB1
10EC2	10EC4
10EFC	10F27
10F30	10F59
10F70	10F89
10FB0	10FCB
10FE0	10FF6
11000	1104D
11052	11075
1107F	110C2
110CD	110CD
110D0	110E8
110F0	110F9
11100	11134
11136	11147
11150	11176
11180	111DF
111E1	111F4
11200	11211
11213	11241
11280	11286
11288	11288
1128A	1128D
1128F	1129D
1129F	112A9
112B0	112EA
112F0	112F9
11300	11303
11305	1130C
1130F	11310
11313	11328
1132A	11330
11332	11333
11335	11339
1133B	11344
11347	11348
1134B	1134D
11350	11350
11357	11357
1135D	11363
11366	1136C
11370	11374
11380	11389
1138B	1138B
1138E	1138E
11390	113B5
113B7	113C0
113C2	113C2
113C5	113C5
113C7	113CA
113CC	113D5
113D7	113D8
113E1	113E2
11400	1145B
1145D	11461
11480	114C7
114D0	114D9
11580	115B5
115B8	115DD
11600	11644
11650	11659
11660	1166C
11680	116B9
116C0	116C9
116D0	116E3
11700	1171A
1171D	1172B
11730	11746
11800	1183B
118A0	118F2
118FF	11906
11909	11909
1190C	11913
11915	11916
11918	11935
11937	11938
1193B	11946
11950	11959
119A0	119A7
119AA	119D7
119DA	119E4
11A00	11A47
11A50	11AA2
11AB0	11AF8
11B00	11B09
11BC0	11BE1
11BF0	11BF9
11C00	11C08
11C0A	11C36
11C38	11C45
11C50	11C6C
11C70	11C8F
11C92	11CA7
11CA9	11CB6
11D00	11D06
11D08	11D09
11D0B	11D36
11D3A	11D3A
11D3C	11D3D
11D3F	11D47
11D50	11D59
11D60	11D65
11D67	11D68
11D6A	11D8E
11D90	11D91
